geohash7;CONNECTION_ENODEBID;CONNECTION_MOBILECHANNEL;CONNECTION_BAND;LOCATION_ALTITUDE;LOCATION_HORIZONTALACCURACY;LOCATION_VERTICALACCURACY;LOCATION_AVAILABILITY;QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTBYTE;QOS_DOWNLOADTHROUGHPUTTESTSIZE;QOS_LATENCYMIN;QOS_LATENCYAVERAGE;QOS_JITTERMIN;QOS_JITTERAVERAGE;QOS_PACKETLOSSDISCARDPERCENTAGE;QOS_PACKETLOSSLOSTPERCENTAGE;QOS_ICMPLATENCYMIN;QOS_LINKDOWNSTREAMBANDWIDTH;QOS_LINKUPSTREAMBANDWIDTH;QOS_SIGNALLEVEL;QOS_ASU;QOS_DELTATRANSMITTEDBYTES;QOS_DELTARECEIVEDBYTES;QOS_DELTATRANSCEIVEDBYTES;QOS_RSSNR;QOS_TA;LOCATION_HORIZONTALACCURACYASSESSMENT;QOS_UPLOADTHROUGHPUTDNSLOOKUP;QOS_UPLOADTHROUGHPUTTIMETOFIRSTACCESS;QOS_DOWNLOADTHROUGHPUTDNSLOOKUP;QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTACCESS;QOS_SERVERRESPONSEDNSLOOKUP;QOS_ICMPLATENCYAVERAGE;QOS_ICMPPACKETLOSSLOSTPERCENTAGE;QOS_ICMPTESTCONFIGPACKETDELAY;QOS_ICMPTESTCONFIGPACKETSIZE;QOS_ICMPTESTCONFIGSENTPACKETS;QOS_ICMPTESTCONFIGTTL;QOS_ICMPTESTCONFIGBYTESSENT;QOS_ICMPTESTCONFIGARGUMENTS;QOS_ICMPTRACEROUTETESTCONFIGPACKETDELAY;QOS_ICMPTRACEROUTETESTCONFIGMAXHOPCOUNT;QOS_ICMPTRACEROUTETESTSENTPACKETS;QOS_VISIBLECELLTOWERS;QOS_CELLBANDWIDTHS;Operador;LAT;LON;Potencia;Calidad;hora;Hora_etiq;bytes_tras;bytres_rec;bytes_tot;tiempo_conec;vel_subida;vel_bajada;Clasif_Vel_baj;CONNECTION_CATEGORY;QOS_LOCALDATE
63vtx1x;3.715,00;9.610;700 MHz APT (Band 28);571;14;1,34;AVAILABLE;318;2.097.152;35,53;37,36;0,01;1,28;0;0;9,18;102.400;51.200;3;39;1.200.271;2.423.092;3.623.363;10;7;88,24;32;195;27;256;31;10,63;0;200;32;10;25;60;;200;30;3;2;;D;-34,18;-70,7;-101;-8;4;4_5;1.200.271;2.423.092;3.623.363;78;6.651,37;55.911,05;1;4G;01-01-2022 04:00:00.000000
63vtwfg;16.789,00;66.961;1700 MHz Extended AWS (Band 66);555,9;180;2,14;AVAILABLE;201;2.097.152;31,89;34,66;0,03;1,44;0;0;10,71;30.000;15.000;4;42;1.518.020;10.027.063;11.545.083;10;1;0;34;178;75;145;30;19,25;0;200;32;10;19;60;;200;30;3;1;15000;B;-34,17;-70,71;-98;-10;16;16_17;1.518.020;10.027.063;11.545.083;1.921;22.553,82;46.453,75;1;4G;01-01-2022 16:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);575;23;1,33;AVAILABLE;264;2.097.152;33,19;40,06;0,01;3,89;0;0;11,73;30.000;15.000;3;38;1.128.185;2.227.122;3.355.307;11;4;813,86;55;196;30;190;53;19,39;0;200;32;10;7;60;;200;30;3;1;;B;-34,18;-70,69;-102;-11;21;21_22;1.128.185;2.227.122;3.355.307;9;5.943,41;21.419,75;1;4G;01-01-2022 21:00:00.000000
63vtwgb;524.584,00;1.000;1900 MHz (Band 2);547,7;7,86;1,59;AVAILABLE;324;2.097.152;33,53;40,03;0,06;4,27;0;0;8,67;30.000;15.000;3;41;1.225.884;2.353.995;3.579.879;4;5;0;98;280;47;178;55;20,95;0;200;32;10;15;60;;200;30;3;2;10000, 20000;A;-34,17;-70,72;-99;-14;14;14_15;1.225.884;2.353.995;3.579.879;180;6.667,28;19.871,81;1;4G;02-01-2022 14:00:00.000000
63vtxdb;524.584,00;3.300;2600 MHz (Band 7);568;15;1,33;AVAILABLE;432;5.242.880;34,82;40,94;0,01;3,99;0;0;8,57;102.400;51.200;2;28;1.285.733;5.627.646;6.913.379;8;6;4.747,34;79;302;37;311;46;20,35;0;200;32;10;5;60;;200;30;3;1;20000;A;-34,17;-70,69;-111;-14;14;14_15;1.285.733;5.627.646;6.913.379;1.128;3.400,64;21.060,99;1;4G;02-01-2022 14:00:00.000000
63vtx4m;3.715,00;2.900;2600 MHz (Band 7);576;135;1,33;AVAILABLE;722;2.097.152;36,43;38,07;0,01;1,8;2;1;10,01;30.000;15.000;3;47;1.202.102;2.211.021;3.413.123;6;0;0;24;246;34;374;23;12,2;0;200;32;10;10;60;;200;30;3;1;;D;-34,18;-70,7;-93;-14;0;0_1;1.202.102;2.211.021;3.413.123;83;10.603,17;10.949,82;1;4G;03-01-2022 00:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);575;39;1,33;AVAILABLE;270;5.242.880;32,63;39,77;0,01;3,8;0;0;12,69;30.000;15.000;4;44;1.137.051;5.526.944;6.663.995;16;4;109,54;101;207;30;172;63;19,44;0;200;32;10;245;60;;200;30;3;1;;B;-34,18;-70,69;-96;-7;3;3_4;1.137.051;5.526.944;6.663.995;9;6.362,91;55.850,08;1;4G;03-01-2022 03:00:00.000000
63vtx6s;16.789,00;66.961;1700 MHz Extended AWS (Band 66);568,9;72,9;1,33;AVAILABLE;233;5.242.880;32,09;36,94;0,02;2,68;0;0;10,92;30.000;15.000;4;52;1.183.740;5.952.605;7.136.345;11;1;0,95;85;240;46;163;42;15,63;0;200;32;10;10;60;;200;30;3;1;15000;B;-34,18;-70,69;-88;-7;9;9_10;1.183.740;5.952.605;7.136.345;605;6.342,47;65.182,40;1;4G;03-01-2022 09:00:00.000000
63vtxe0;524.584,00;3.300;2600 MHz (Band 7);567;38;1,33;AVAILABLE;181;2.097.152;34,31;45,51;0,12;6,47;0;0;9,47;102.400;51.200;4;56;1.388.881;8.510.718;9.899.599;15;2;0;88;232;34;126;118;19,16;0;200;32;10;245;60;;200;30;3;1;;A;-34,17;-70,69;-79;-14;14;14_15;1.388.881;8.510.718;9.899.599;106;10.368,34;48.357,05;1;4G;03-01-2022 14:00:00.000000
63vtx4r;12.994,00;1.125;1900 MHz (Band 2);567,65;20;3;AVAILABLE;276;2.097.152;33,86;40,43;0,01;3,66;0;0;9,05;30.000;15.000;4;46;1.294.965;4.357.732;5.652.697;4;11;4.747,34;44;152;30;170;88;12,85;0;200;32;10;18;60;;200;30;3;3;15000, 20000;C;-34,18;-70,7;-94;-11;14;14_15;1.294.965;4.357.732;5.652.697;544;21.861,67;27.085,69;1;4G;03-01-2022 14:00:00.000000
