	CONNECTION_ENODEBID	CONNECTION_MOBILECHANNEL	CONNECTION_BAND	LOCATION_ALTITUDE	LOCATION_HORIZONTALACCURACY	LOCATION_VERTICALACCURACY	LOCATION_AVAILABILITY	QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTBYTE	QOS_DOWNLOADTHROUGHPUTTESTSIZE	QOS_LATENCYMIN	QOS_LATENCYAVERAGE	QOS_JITTERMIN	QOS_JITTERAVERAGE	QOS_PACKETLOSSDISCARDPERCENTAGE	QOS_PACKETLOSSLOSTPERCENTAGE	QOS_ICMPLATENCYMIN	QOS_LINKDOWNSTREAMBANDWIDTH	QOS_LINKUPSTREAMBANDWIDTH	QOS_SIGNALLEVEL	QOS_ASU	QOS_DELTATRANSMITTEDBYTES	QOS_DELTARECEIVEDBYTES	QOS_DELTATRANSCEIVEDBYTES	QOS_RSSNR	QOS_TA	LOCATION_HORIZONTALACCURACYASSESSMENT	QOS_UPLOADTHROUGHPUTDNSLOOKUP	QOS_UPLOADTHROUGHPUTTIMETOFIRSTACCESS	QOS_DOWNLOADTHROUGHPUTDNSLOOKUP	QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTACCESS	QOS_SERVERRESPONSEDNSLOOKUP	QOS_ICMPLATENCYAVERAGE	QOS_ICMPPACKETLOSSLOSTPERCENTAGE	QOS_ICMPTESTCONFIGPACKETDELAY	QOS_ICMPTESTCONFIGPACKETSIZE	QOS_ICMPTESTCONFIGSENTPACKETS	QOS_ICMPTESTCONFIGTTL	QOS_ICMPTESTCONFIGBYTESSENT	QOS_ICMPTESTCONFIGARGUMENTS	QOS_ICMPTRACEROUTETESTCONFIGPACKETDELAY	QOS_ICMPTRACEROUTETESTCONFIGMAXHOPCOUNT	QOS_ICMPTRACEROUTETESTSENTPACKETS	QOS_VISIBLECELLTOWERS	QOS_CELLBANDWIDTHS	Operador	LAT	LON	Potencia	Calidad	hora	Hora_etiq	bytes_tras	bytres_rec	bytes_tot	tiempo_conec	vel_subida	vel_bajada	Clasif_Vel_baj	CONNECTION_CATEGORY	MES
0	12994.0	3100	2600 MHz (Band 7)	571.300048828125	13.92199993133545	1.3333333730697632	AVAILABLE	464	5242880	37.787538	55.847118	0.004634	4.688937	3.0	2.0	15.492	30000	15000	3	37	1386370	5523055	6909425	2	0	0.0	190	374	148	311	82	18.761	0.0	200	32	10	54	60		200	30	3	12		C	-34.18190002441406	-70.69908142089844	-103	-10	14	14_15	1386370	5523055	6909425	116	1119.1691625211624	7196.493189168804	0	4G	2022-01-01
1	16789.0	66961	1700 MHz Extended AWS (Band 66)	567.800048828125	11.498000144958496	1.0	AVAILABLE	298	2097152	37.035192	47.048531	0.017519	7.259402	6.0	0.0	16.256	102400	51200	3	39	1250154	2335953	3586107	18	4	0.0	57	403	41	210	58	29.1485	0.0	200	32	10	18	60		200	30	3	1		B	-34.17366027832031	-70.68946838378906	-101	-12	11	11_12	1250154	2335953	3586107	482	21455.718674126092	35445.69300201477	1	4G	2022-10-01
2	524584.0	3300	2600 MHz (Band 7)	609.6000366210938	16.110000610351562	1.0	AVAILABLE	273	5242880	35.374404	41.482494	0.019896	4.55685	0.0	0.0	10.721	30000	15000	4	60	1142859	5545160	6688019	21	1	0.021306627245017806	29	153	29	179	46	16.508	0.0	200	32	10	6	60		200	30	3	2	20000	A	-34.17228698730469	-70.64002990722656	-80	-13	14	14_15	1142859	5545160	6688019	49	11499.020980667594	30635.66603539974	1	4G	2022-04-01
3	3715.0	9610	700 MHz APT (Band 28)	556.800048828125	18.469999313354492	1.0162442922592163	AVAILABLE	813	2097152	36.963207	49.02154	0.107292	7.53575	0.0	0.0	76.2455	30000	15000	2	24	1391130	2284145	3675275	3	10	0.0033810300551609875	26	270	32	459	36	81.376	0.0	200	32	10	238	60		200	30	3	5		D	-34.16679382324219	-70.69770812988281	-116	-16	13	13_14	1391130	2284145	3675275	52	582.2828612145356	3976.9127452623725	0	4G	2022-03-01
4	12994.0	3100	2600 MHz (Band 7)	561.9000244140625	17.5	1.0	AVAILABLE	290	2097152	37.442827	43.108831	0.01325	1.712593	0.0	0.0	11.761	30000	15000	3	32	1218084	2271359	3489443	10	11	0.0	39	179	38	233	65	14.335	0.0	200	32	10	54	60		200	30	3	1		C	-34.16816711425781	-70.68809509277344	-108	-8	6	6_7	1218084	2271359	3489443	25	7109.644948294636	18382.869218904987	1	4G	2022-11-01
5	524584.0	3300	2600 MHz (Band 7)	567.4000244140625	23.523000717163086	1.0	AVAILABLE	1396	5242880	41.16073	58.855531	0.327231	11.284526	0.0	0.0	31.6195	30000	15000	4	48	1136921	937986	2074907	13	10	5276.269888140474	199	847	1112	1322	64	36.7375	0.0	200	32	10	6	60		200	30	3	1	20000	A	-34.17640686035156	-70.69908142089844	-92	-14	17	17_18	1136921	937986	2074907	30	4427.625617675187	7431.827257648386	0	4G	2022-09-01
6	3715.0	2900	2600 MHz (Band 7)	572.800048828125	23.552000045776367	1.0	UNKNOWN	177	2097152	36.601942	38.041754	0.000576	1.558768	0.0	0.0	9.53	102400	51200	3	55	1141659	2292981	3434640	16	7	5505.881724114682	39	153	26	112	22	10.437	0.0	200	32	10	17	60		200	30	3	1		D	-34.18190002441406	-70.69633483886719	-85	-6	7	7_8	1141659	2292981	3434640	180	13371.426812056117	68903.41903140585	1	4G	2022-04-01
7	3715.0	2900	2600 MHz (Band 7)	565.6023739341445	18.167999267578125	1.2777777910232544	AVAILABLE	1290	5242880	35.765904	37.058049	0.006327	1.033035	2.0	1.0	84.2465	30000	15000	4	49	1179651	5526194	6705845	2	8	1004.9122646216625	32	286	38	459	26	85.8015	0.0	200	32	10	236	60		200	30	3	1	10000, 20000	D	-34.17503356933594	-70.69496154785156	-91	-19	22	22_23	1179651	5526194	6705845	173	13973.601200974745	22579.14662367959	1	4G	2022-02-01
8	524584.0	3300	2600 MHz (Band 7)	564.4000244140625	15.814000129699707	1.0190939903259277	AVAILABLE	316	2097152	35.68875	48.78837	0.168255	7.131619	0.0	0.0	12.7135	44045	6012	3	34	1144945	2247414	3392359	-1	5	0.0	78	285	35	176	56	22.478	0.0	200	32	10	117	60		200	30	3	3	20000	A	-34.16954040527344	-70.68397521972656	-106	-20	12	12_13	1144945	2247414	3392359	32	19971.514225647894	4499.815720498443	0	4G	2022-10-01
9	12994.0	1125	1900 MHz (Band 2)	551.9000244140625	42.869998931884766	1.2474335432052612	AVAILABLE	154	2097152	32.815788	36.92912	0.020597	3.146115	0.0	0.0	7.4265	11437	17896	4	50	1345312	2796133	4141445	4	15	0.0	50	305	22	107	25	16.328	0.0	200	32	10	52	60		200	30	3	1	15000, 20000	C	-34.16404724121094	-70.70182800292969	-90	-10	14	14_15	1345312	2796133	4141445	53	12010.185488443083	11313.820741188005	1	4G	2022-04-01
